,location_short,icao_type,SEL_dB,seats
42,Aa,A321,79.89065219341491,200
0,Aa,A350,79.52207954293276,300
43,Al,A321,69.65998888362402,200
1,Al,A350,68.98999091242423,300
44,Am,A321,72.93350100424152,200
2,Am,A350,73.9486268778662,300
45,BH,A321,74.66443658810392,200
3,BH,A350,75.56016328931989,300
46,Be,A321,76.47792236419075,200
4,Be,A350,79.84833375213644,300
47,Bi,A321,74.02503987519785,200
5,Bi,A350,73.44662540431145,300
48,Bl,A321,81.00742188020591,200
6,Bl,A350,82.418736491713,300
49,Bo,A321,67.5808720558268,200
7,Bo,A350,67.8851810917564,300
50,Br,A321,71.99310578064366,200
8,Br,A350,70.8183730585548,300
51,CC,A321,81.91553489768744,200
9,CC,A350,87.40783970648181,300
52,Cl,A321,73.00692631680523,200
10,Cl,A350,69.97281808226413,300
53,Co,A321,73.11946214513098,200
11,Co,A350,73.28982784314367,300
54,Da,A321,74.8053549322181,200
12,Da,A350,74.5376784605034,300
55,Gr,A321,71.14028648625245,200
13,Gr,A350,69.5376590095161,300
56,He,A321,69.84260195000908,200
14,He,A350,73.88905578667593,300
57,Ho,A321,84.36305550936285,200
15,Ho,A350,82.05783215935345,300
58,In,A321,67.11043183589342,200
16,In,A350,71.59498835096021,300
59,JA,A321,77.5564382692405,200
17,JA,A350,81.27079117304935,300
60,Jp,A321,72.00936077345561,200
18,Jp,A350,71.1035611489476,300
61,Ke,A321,71.8614937405734,200
19,Ke,A350,74.34666373712145,300
62,Ku,A321,70.04542896732829,200
20,Ku,A350,70.62205310730043,300
63,LW,A321,73.89877788259837,200
21,LW,A350,70.91069303415844,300
64,Me,A321,74.6958933257497,200
22,Me,A350,74.97414551245372,300
65,NO,A321,74.91654846366417,200
23,NO,A350,69.0626497753752,300
66,Ov,A321,69.29205778517647,200
24,Ov,A350,72.06928903648594,300
67,PZ,A321,77.94032858398701,200
25,PZ,A350,80.61354254736557,300
68,Ra,A321,79.94544483340704,200
26,Ra,A350,79.57656113867966,300
69,Re,A321,66.67613197070132,200
27,Re,A350,68.64971836626593,300
70,Ru,A321,72.57261352896961,200
28,Ru,A350,70.02584848865715,300
71,SP,A321,76.7697902763091,200
29,SP,A350,70.42688636927092,300
72,Sm,A321,68.61296538488907,200
30,Sm,A350,68.56890402717478,300
73,Sp,A321,73.52893994373058,200
31,Sp,A350,73.69246178858955,300
74,TG,A321,73.07327702204428,200
32,TG,A350,70.46799376807002,300
75,Te,A321,74.82677678517521,200
33,Te,A350,75.91842853053859,300
76,Ui,A321,71.27901474713143,200
34,Ui,A350,70.47858938514086,300
77,Va,A321,73.92538115252023,200
35,Va,A350,70.09848214240755,300
78,Vi,A321,73.68503216243674,200
36,Vi,A350,73.60678462662337,300
79,Vo,A321,72.69805278111403,200
37,Vo,A350,70.1296639597117,300
80,WB,A321,77.45057130518474,200
38,WB,A350,80.35614613407955,300
81,Wa,A321,70.82342950587994,200
39,Wa,A350,71.33736319873869,300
82,Wi,A321,69.8246181412174,200
40,Wi,A350,70.03138733470915,300
83,Zw,A321,74.53909796377522,200
41,Zw,A350,71.16868359162116,300
